name,year,month,boxfile,director,actor,genre,score
捉妖记,2015,07,2440.0,许诚毅,"白百何,井柏然,姜武,金燕玲,钟汉良","喜剧,奇幻,古装",9.1
速度与激情7,2015,04,2426.0,温子仁,"范·迪塞尔,保罗·沃克,道恩·强森,杰森·斯坦森,米歇尔·罗德里格兹","动作,惊悚,犯罪",9.6
寻龙诀,2015,12,1678.0,乌尔善,"陈坤,黄渤,舒淇,杨颖,夏雨","动作,冒险,奇幻",9.1
港囧,2015,09,1614.0,"徐峥,阮惟新","徐峥,赵薇,包贝尔,杜鹃,葛民辉","喜剧,爱情,动作",8.4
复仇者联盟2：奥创纪元,2015,05,1464.0,乔斯·韦登,"小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁法洛,克里斯·埃文斯,斯嘉丽·约翰逊","动作,冒险,科幻",8.6
夏洛特烦恼,2015,09,1441.0,"闫非,彭大魔","沈腾,马丽,尹正,艾伦,何长津","喜剧,爱情",9.3
侏罗纪世界,2015,06,1420.0,科林·特雷沃罗,"克里斯·帕拉特,布莱丝·达拉斯·霍华德,泰·辛普金斯,尼克·罗宾森,文森特·多诺费奥","动作,冒险,科幻",9.1
煎饼侠,2015,07,1162.0,大鹏,"大鹏,袁姗姗,柳岩,崔志佳,衣云鹤",喜剧,8.5
澳门风云2,2015,02,968.0,"王晶,张敏","周润发,张家辉,刘嘉玲,余文乐,王诗龄","喜剧,动作",8.7
西游记之大圣归来,2015,07,956.0,田晓鹏,"张磊,张欣,林子杰,吉吉,吴文伦","动画,动作,奇幻",9.3
老炮儿,2015,12,898.0,管虎,"冯小刚,张涵予,许晴,李易峰,吴亦凡","剧情,动作",9.1
碟中谍5：神秘国度,2015,09,869.0,克里斯托弗·麦奎里,"汤姆·克鲁斯,杰瑞米·雷纳,丽贝卡·弗格森,文·瑞姆斯,西蒙·佩吉","动作,惊悚,冒险",9.0
唐人街探案,2015,12,818.0,陈思诚,"王宝强,刘昊然,陈赫,佟丽娅,肖央","喜剧,动作,悬疑",9.0
霍比特人3：五军之战,2015,01,764.0,彼得·杰克逊,"马丁·弗瑞曼,理查德·阿米蒂奇,伊万杰琳·莉莉,伊恩·麦克莱恩,李·佩斯","动作,冒险,奇幻",9.1
天将雄师,2015,02,737.0,"李仁港,成龙,肖昂","成龙,约翰·库萨克,艾德里安·布洛迪,林鹏,王若心","动作,战争,古装",8.3
终结者：创世纪,2015,08,725.0,阿兰·泰勒,"阿诺德·施瓦辛格,杰森·克拉克,艾米莉亚·克拉克,杰·科特尼,李秉宪","动作,冒险,科幻",8.9
狼图腾,2015,02,694.0,让-雅克·阿诺,"草原狼,冯绍峰,窦骁,昂和妮玛,尹铸胜","剧情,冒险",8.3
九层妖塔,2015,09,682.0,陆川,"赵又廷,姚晨,凤小岳,李晨,唐嫣","剧情,动作,冒险",5.7
蚁人,2015,10,671.0,佩顿·里德,"保罗·路德,伊万杰琳·莉莉,寇瑞·斯托尔,鲍比·坎纳瓦尔,迈克尔·佩纳","动作,冒险,科幻",8.9
恶棍天使,2015,12,648.0,"邓超,俞白眉","邓超,孙俪,代乐乐,梁超,王砚辉","喜剧,爱情",8.0
末日崩塌,2015,06,629.0,布拉德·佩顿,"道恩·强森,卡拉·古奇诺,亚历珊德拉·达达里奥,艾恩·格拉法德,雅奇·潘嘉比","动作,冒险,灾难",9.1
火星救援,2015,11,585.0,雷德利·斯科特,"马特·达蒙,杰西卡·查斯坦,克里斯汀·韦格,杰夫·丹尼尔斯,迈克尔·佩纳","动作,冒险,科幻",9.0
杀破狼2,2015,06,560.0,郑保瑞,"吴京,托尼·贾,张晋,古天乐,任达华","剧情,动作,犯罪",9.0
战狼,2015,04,545.0,吴京,"吴京,余男,倪大红,周晓鸥,马东延","动作,战争",9.3
007：幽灵党,2015,11,541.0,萨姆·门德斯,"丹尼尔·克雷格,克里斯托弗·沃尔兹,蕾雅·赛杜,本·威士肖,娜奥米·哈里斯","动作,惊悚,冒险",8.0
哆啦A梦：伴我同行,2015,05,530.0,"山崎贵,八木龙一,托尼·奥立佛","水田山葵,刘纯燕,妻夫木聪,大原惠美,韩庚","剧情,喜剧,动画",9.0
超能陆战队,2015,02,524.0,"唐·霍尔,克里斯·威廉姆斯","瑞恩·波特,斯科特·安第斯,T·J·米勒,杰米·钟,小达蒙·韦恩斯","动画,喜剧,动作",9.5
滚蛋吧！肿瘤君,2015,08,511.00000000000006,韩延,"白百何,吴彦祖,李媛,刘芮麟,张子萱","剧情,喜剧,爱情",9.0
小时代4：灵魂尽头,2015,07,484.99999999999994,郭敬明,"杨幂,郭采洁,陈学冬,郭碧婷,谢依霖","喜剧,爱情",8.3
左耳,2015,04,484.99999999999994,苏有朋,"陈都灵,欧豪,杨洋,马思纯,段博文",爱情,7.9
王牌特工：特工学院,2015,03,483.0,马修·沃恩,"科林·费斯,塞缪尔·杰克逊,塔伦·埃格顿,迈克尔·凯恩,马克·斯特朗","喜剧,动作,冒险",9.2
灰姑娘,2015,03,442.0,肯尼思·布拉纳,"凯特·布兰切特,莉莉·詹姆斯,理查德·麦登,斯特兰·斯卡斯加德,霍利·格林格","爱情,奇幻,冒险",8.5
小黄人大眼萌,2015,09,434.99999999999994,"凯尔·巴尔达,皮埃尔·柯芬","皮埃尔·柯芬,桑德拉·布洛克,乔恩·哈姆,艾莉森·珍妮,迈克尔·基顿","喜剧,动画,家庭",8.9
奔跑吧！兄弟,2015,01,432.0,"胡笳,岑俊义","杨颖,王宝强,李晨,陈赫,郑恺","喜剧,动作,冒险",5.0
百团大战,2015,08,413.0,"宁海强,张玉中","陶泽如,刘之冰,印小天,吴越,唐国强","战争,历史",8.5
钟馗伏魔：雪妖魔灵,2015,02,404.0,"鲍德熹,赵天宇","周强,陈坤,李冰冰,赵文瑄,杨子姗","奇幻,爱情,动作",5.4
道士下山,2015,07,400.0,陈凯歌,"王宝强,郭富城,张震,林志玲,范伟","喜剧,冒险,奇幻",6.6
栀子花开,2015,07,379.0,何炅,"李易峰,张慧雯,蒋劲夫,魏大勋,杜天皓","剧情,爱情",8.2
重返20岁,2015,01,365.0,陈正道,"杨子姗,陈柏霖,鹿晗,归亚蕾,王德顺","喜剧,爱情,奇幻",9.2
我的少女时代,2015,11,358.0,陈玉珊,"宋芸桦,王大陆,李玉玺,简廷芮,蔡颐榛","喜剧,爱情",9.2
何以笙箫默,2015,04,353.0,"杨文军,黄斌","黄晓明,杨幂,佟大为,杨颖,谢依霖",爱情,5.4
博物馆奇妙夜3,2015,01,322.0,肖恩·利维,"本·斯蒂勒,罗宾·威廉姆斯,欧文·威尔逊,丹·史蒂文斯,本·金斯利","喜剧,奇幻,家庭",8.4
横冲直撞好莱坞,2015,06,322.0,蒂姆·肯德尔,"赵薇,黄晓明,佟大为,姜成镐,黎一墨","喜剧,动作,冒险",7.7
万万没想到,2015,12,322.0,易小星,"杨子姗,白客,陈柏霖,马天宇,刘循子墨","喜剧,奇幻,古装",7.9
烈日灼心,2015,08,305.0,曹保平,"邓超,段奕宏,郭涛,王珞丹,吕颂贤","剧情,犯罪,悬疑",8.9
熊出没之雪岭熊风,2015,01,294.0,"丁亮,刘富源","张伟,谭笑,万丹青,辛媛,张秉君","动画,喜剧,冒险",9.2
咱们结婚吧,2015,04,284.0,刘江,"高圆圆,姜武,李晨,郑恺,陈意涵","剧情,爱情",8.5
木星上行,2015,03,283.0,"莉莉·沃卓斯基,拉娜·沃卓斯基","查宁·塔图姆,米拉·库尼斯,道格拉斯·布斯,肖恩·宾,埃迪·雷德梅恩","动作,科幻,冒险",7.7
有一个地方只有我们知道,2015,02,280.0,徐静蕾,"吴亦凡,王丽坤,徐静蕾,戈登·亚历山大,丛珊","剧情,爱情",7.6
前任2：备胎反击战,2015,11,250.99999999999997,田羽生,"郑恺,郭采洁,王传君,张艺兴,张殿伦","喜剧,爱情",8.3
极盗者,2015,12,248.0,埃里克松·科尔,"埃德加·拉米雷兹,卢克·布雷西,泰莉莎·帕尔墨,戴尔里·林多,雷·温斯顿","动作,犯罪,运动",8.3
饥饿游戏3：嘲笑鸟（上）,2015,02,223.0,弗朗西斯·劳伦斯,"詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,伍迪·哈里森,朱丽安·摩尔","动作,冒险,科幻",6.8
爸爸去哪儿2,2015,02,221.0,"谢涤葵,张训玮,林妍","黄磊,黄忆慈,陆毅,陆雨萱,曹格","喜剧,家庭",7.8
我是证人,2015,10,215.0,安相勋,"杨幂,鹿晗,王景春,朱亚文,赖艺","悬疑,犯罪,惊悚",8.4
失孤,2015,03,215.0,彭三源,"刘德华,井柏然,梁家辉,吴君如,刘雅瑟",剧情,8.3
赤道,2015,04,209.0,"梁乐民,陆剑青","张学友,张家辉,余文乐,王学圻,文咏珊","动作,悬疑,犯罪",7.3
飓风营救3,2015,03,202.0,奥利维尔·米加顿,"连姆·尼森,福里斯特·惠特克,玛姬·格蕾斯,多格雷·斯科特,法米克·詹森","动作,惊悚,犯罪",8.2
移动迷宫2,2015,11,196.0,韦斯·鲍尔,"迪伦·奥布莱恩,李起弘,卡雅·斯考达里奥,托马斯·布罗迪-桑斯特,罗莎·萨拉查","动作,惊悚,科幻",7.9
解救吾先生,2015,09,195.0,丁晟,"刘德华,刘烨,吴若甫,王千源,林雪","剧情,动作,犯罪",8.4
新娘大作战,2015,08,173.0,陈国辉,"杨颖,倪妮,陈晓,朱亚文,何炅","喜剧,爱情",6.2
第七子：降魔之战,2015,01,172.0,谢尔盖·波德罗夫,"本·巴恩斯,杰夫·布里吉斯,朱丽安·摩尔,艾丽西亚·维坎德,安婕·特拉乌","动作,冒险,奇幻",5.6
疯狂外星人,2015,04,172.0,"蒂姆·约翰逊,尼古拉斯·麦卡锡,Tim Johnson","吉姆·帕森斯,佟大为,罗比恩·蕾哈娜·芬缇,李宇春,史蒂夫·马丁","动画,冒险,奇幻",9.0
怦然星动,2015,12,159.0,"陈国辉,夏永康","杨幂,李易峰,陈数,王耀庆,张云龙","爱情,喜剧",7.6
小王子,2015,10,158.0,马克·奥斯本,"杰夫·布里吉斯,黄渤,麦肯吉·弗依,黄忆慈,瑞利·奥斯本","剧情,动画,冒险",8.9
冲上云霄,2015,02,155.0,"叶伟信,邹凯光","古天乐,郑秀文,吴镇宇,张智霖,佘诗曼","剧情,爱情",5.2
谜城,2015,07,148.0,林岭东,"古天乐,佟丽娅,余文乐,张孝全,谢天华","动作,惊悚,犯罪",8.0
万物生长,2015,04,148.0,李玉,"范冰冰,韩庚,齐溪,杨迪,张博宇","剧情,爱情",7.0
破风,2015,08,145.0,林超贤,"彭于晏,窦骁,崔始源,王珞丹,陈家乐","剧情,爱情,运动",9.0
饥饿游戏3：嘲笑鸟（下）,2015,11,143.0,弗朗西斯·劳伦斯,"詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,伍迪·哈里森,伊丽莎白·班克斯","动作,冒险,科幻",7.6
王朝的女人·杨贵妃,2015,07,133.0,十庆,"范冰冰,黎明,吴尊,吴刚,陈冲","爱情,古装",5.4
玩命速递：重启之战,2015,11,128.0,卡米尔·狄拉玛,"艾德·斯克林,雷·史蒂文森,洛安·沙巴诺尔,加布里埃拉·赖特,塔蒂阿娜·帕科维奇","动作,惊悚,犯罪",8.4
精灵旅社2,2015,10,119.0,格恩迪·塔塔科夫斯基,"亚当·桑德勒,安迪·萨姆伯格,赛琳娜·戈麦斯,凯文·詹姆斯,史蒂夫·布西密","动画,喜剧,家庭",9.0
明日世界,2015,05,118.0,布拉德·伯德,"乔治·克鲁尼,休·劳瑞,布丽特·罗伯森,拉菲·卡西迪,蒂姆·麦格罗","冒险,科幻,家庭",7.7
我的个神啊,2015,05,118.0,拉吉库马尔·希拉尼,"Aamir Hussain Khan,安努舒卡·莎玛,苏尚特·辛格·拉吉普特,桑杰·达特,博曼·伊拉尼","喜剧,爱情,奇幻",9.0
爸爸的假期,2015,02,114.99999999999999,王岳伦,"郭涛,郭子睿,林志颖,小小志,王岳伦","喜剧,家庭",5.4
不可思异,2015,12,111.00000000000001,孙周,"王宝强,小沈阳,大鹏,杨抒文,尹正","剧情,喜剧,科幻",6.4
分歧者2：绝地反击,2015,06,110.00000000000001,罗伯特·斯文克,"谢琳·伍德蕾,提奥·詹姆斯,奥克塔维亚·斯宾瑟,杰·科特尼,迈尔斯·特勒","惊悚,冒险,科幻",7.8
超能查派,2015,05,103.0,尼尔·布洛姆坎普,"沙尔托·科普雷,忍者,尤兰蒂·维瑟,何塞·巴勃罗·坎蒂略,西格妮·韦弗","动作,科幻,犯罪",8.4
绝命海拔,2015,11,102.0,巴塔萨·科马库,"杰森·克拉克,乔什·布洛林,约翰·浩克斯,罗宾·怀特,艾米丽·沃森","剧情,冒险,传记",8.2
像素大战,2015,09,100.0,克里斯·哥伦布,"亚当·桑德勒,米歇尔·莫纳汉,凯文·詹姆斯,彼特·丁拉基,乔什·加德","喜剧,动作,科幻",8.0
帕丁顿熊,2015,03,99.445,保罗·金,"本·威士肖,妮可·基德曼,休·博纳维尔,莎莉·霍金斯,吉姆·布劳德本特","喜剧,动画,家庭",9.0
一代宗师3D,2015,01,97.741,王家卫,"梁朝伟,章子怡,张震,赵本山,小沈阳","剧情,动作,传记",8.2
头脑特工队,2015,10,97.23,"彼特·道格特,罗纳尔多·德尔·卡门","艾米·波勒,菲利丝·史密斯,敏迪·卡灵,比尔·哈德尔,刘易斯·布莱克","动画,喜剧,家庭",9.0
一念天堂,2015,12,82.561,张承,"沈腾,马丽,杜晓宇,林雪,刘小宝","剧情,喜剧",6.0
