name,year,month,boxfile,director,actor,genre,score
捉妖记,2015,7,2440.0,许诚毅,"白百何,井柏然,姜武,金燕玲,钟汉良","喜剧,奇幻,古装",9.1
速度与激情7,2015,4,2426.0,温子仁,"范·迪塞尔,保罗·沃克,道恩·强森,杰森·斯坦森,米歇尔·罗德里格兹","动作,惊悚,犯罪",9.6
寻龙诀,2015,12,1678.0,乌尔善,"陈坤,黄渤,舒淇,杨颖,夏雨","动作,冒险,奇幻",9.1
港囧,2015,9,1614.0,"徐峥,阮惟新","徐峥,赵薇,包贝尔,杜鹃,葛民辉","喜剧,爱情,动作",8.4
复仇者联盟2：奥创纪元,2015,5,1464.0,乔斯·韦登,"小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁法洛,克里斯·埃文斯,斯嘉丽·约翰逊","动作,冒险,科幻",8.6
夏洛特烦恼,2015,9,1441.0,"闫非,彭大魔","沈腾,马丽,尹正,艾伦,何长津","喜剧,爱情",9.3
侏罗纪世界,2015,6,1420.0,科林·特雷沃罗,"克里斯·帕拉特,布莱丝·达拉斯·霍华德,泰·辛普金斯,尼克·罗宾森,文森特·多诺费奥","动作,冒险,科幻",9.1
煎饼侠,2015,7,1162.0,大鹏,"大鹏,袁姗姗,柳岩,崔志佳,衣云鹤",喜剧,8.5
澳门风云2,2015,2,968.0,"王晶,张敏","周润发,张家辉,刘嘉玲,余文乐,王诗龄","喜剧,动作",8.7
西游记之大圣归来,2015,7,956.0,田晓鹏,"张磊,张欣,林子杰,吉吉,吴文伦","动画,动作,奇幻",9.3
美人鱼,2016,2,3386.0,"周星驰,林子聪","邓超,张雨绮,罗志祥,林允,吴亦凡","喜剧,爱情,科幻",9.0
疯狂动物城,2016,3,1527.0,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴,珍妮·斯蕾特,J·K·西蒙斯","动画,动作,冒险",9.5
魔兽,2016,6,1468.0,邓肯·琼斯,"崔维斯·费米尔,宝拉·巴顿,本·福斯特,多米尼克·库珀,托比·凯贝尔","动作,冒险,奇幻",9.0
