name,year,month,boxfile,director,actor,genre,score
美人鱼,2016,02,3386.0,"周星驰,林子聪","邓超,张雨绮,罗志祥,林允,吴亦凡","喜剧,爱情,科幻",9.0
疯狂动物城,2016,03,1527.0,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴,珍妮·斯蕾特,J·K·西蒙斯","动画,动作,冒险",9.5
魔兽,2016,06,1468.0,邓肯·琼斯,"崔维斯·费米尔,宝拉·巴顿,本·福斯特,多米尼克·库珀,托比·凯贝尔","动作,冒险,奇幻",9.0
美国队长3,2016,05,1243.0,"安东尼·罗素,乔·罗素","克里斯·埃文斯,小罗伯特·唐尼,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦,安东尼·麦凯","动作,冒险,科幻",8.6
西游记之孙悟空三打白骨精,2016,02,1198.0,郑保瑞,"郭富城,巩俐,冯绍峰,小沈阳,罗仲谦","喜剧,动作,奇幻",7.7
湄公河行动,2016,09,1184.0,林超贤,"张涵予,彭于晏,冯文娟,吴旭东,陈宝国","剧情,动作,犯罪",9.3
长城,2016,12,1173.0,张艺谋,"马特·达蒙,景甜,佩德罗·帕斯卡,刘德华,威廉·达福","剧情,冒险,奇幻",8.4
澳门风云3,2016,02,1116.0,"刘伟强,王晶","周润发,刘德华,张家辉,李宇春,张学友","喜剧,动作",6.9
盗墓笔记,2016,08,1002.0,李仁港,"刘岩,井柏然,鹿晗,王景春,马思纯","惊悚,悬疑,奇幻",8.0
功夫熊猫3,2016,01,1000.0,"吕寅荣,亚历山德罗·卡罗尼","杰克·布莱克,黄磊,布莱恩·科兰斯顿,成龙,安吉丽娜·朱莉","动画,动作,冒险",9.0
